borrower_id,name,trade,region,month,income,expenses_essential,expenses_business,txn_count,emi_due,amount_paid,days_late
B001,Meena Devi,Flower seller,Kerala,2024-04,3866,1221,1175,161,1049,1049,0
B001,Meena Devi,Flower seller,Kerala,2024-05,3400,1230,844,144,1049,1049,0
B001,Meena Devi,Flower seller,Kerala,2024-06,2465,1231,882,99,1049,348,22
B001,Meena Devi,Flower seller,Kerala,2024-07,2456,1232,1052,100,1049,1049,0
B001,Meena Devi,Flower seller,Kerala,2024-08,2949,1241,1358,119,1049,268,15
B001,Meena Devi,Flower seller,Kerala,2024-09,3732,1225,2269,158,1049,204,24
B001,Meena Devi,Flower seller,Kerala,2024-10,6560,1242,2497,279,1049,1049,0
B001,Meena Devi,Flower seller,Kerala,2024-11,7074,1255,2044,297,1049,1049,0
B001,Meena Devi,Flower seller,Kerala,2024-12,5519,1208,2056,242,1049,1049,0
B001,Meena Devi,Flower seller,Kerala,2025-01,5505,1254,1886,238,1049,1049,0
B001,Meena Devi,Flower seller,Kerala,2025-02,5306,1222,1529,219,1049,1049,0
B001,Meena Devi,Flower seller,Kerala,2025-03,4353,1232,1348,182,1049,1049,0
B001,Meena Devi,Flower seller,Kerala,2025-04,3910,1232,1202,163,1049,1049,0
B001,Meena Devi,Flower seller,Kerala,2025-05,3275,1215,888,145,1049,1049,0
B001,Meena Devi,Flower seller,Kerala,2025-06,2451,1218,836,103,1049,299,15
B001,Meena Devi,Flower seller,Kerala,2025-07,2460,1221,995,103,1049,1049,0
B001,Meena Devi,Flower seller,Kerala,2025-08,2981,1219,1338,125,1049,356,17
B001,Meena Devi,Flower seller,Kerala,2025-09,3847,1246,2402,160,1049,1049,0
B001,Meena Devi,Flower seller,Kerala,2025-10,6470,1220,2564,280,1049,1049,0
B001,Meena Devi,Flower seller,Kerala,2025-11,6998,1235,2031,296,1049,1049,0
B001,Meena Devi,Flower seller,Kerala,2025-12,5563,1230,1957,236,1049,1049,0
B001,Meena Devi,Flower seller,Kerala,2026-01,5694,1210,1779,235,1049,1049,0
B001,Meena Devi,Flower seller,Kerala,2026-02,5106,1253,1517,215,1049,1049,0
B001,Meena Devi,Flower seller,Kerala,2026-03,4201,1209,1314,181,1049,1049,0
B001,Meena Devi,Flower seller,Kerala,2026-04,3777,1222,1199,161,1049,1049,0
B001,Meena Devi,Flower seller,Kerala,2026-05,3275,1207,853,141,1049,1049,0
B001,Meena Devi,Flower seller,Kerala,2026-06,2505,1225,869,102,1049,368,18
B001,Meena Devi,Flower seller,Kerala,2026-07,2477,1223,1061,100,1049,1049,0
B001,Meena Devi,Flower seller,Kerala,2026-08,2980,1214,1333,122,1049,375,18
B001,Meena Devi,Flower seller,Kerala,2026-09,3829,1234,2257,163,1049,300,16
B002,Ramesh Devi,Flower seller,Odisha,2024-08,7690,3120,3235,149,2950,1332,15
B002,Ramesh Devi,Flower seller,Odisha,2024-09,9928,3121,5337,186,2950,2950,0
B002,Ramesh Devi,Flower seller,Odisha,2024-10,16019,3155,5483,300,2950,2950,0
B002,Ramesh Devi,Flower seller,Odisha,2024-11,17349,3042,4597,325,2950,2950,0
B002,Ramesh Devi,Flower seller,Odisha,2024-12,14065,3040,4488,263,2950,2950,0
B002,Ramesh Devi,Flower seller,Odisha,2025-01,13917,3105,4296,262,2950,2950,0
B002,Ramesh Devi,Flower seller,Odisha,2025-02,13557,3112,3599,251,2950,2950,0
B002,Ramesh Devi,Flower seller,Odisha,2025-03,10879,3085,3270,211,2950,2950,0
B002,Ramesh Devi,Flower seller,Odisha,2025-04,10226,3078,2903,182,2950,2950,0
B002,Ramesh Devi,Flower seller,Odisha,2025-05,9104,3123,2155,169,2950,2950,0
B002,Ramesh Devi,Flower seller,Odisha,2025-06,6974,3057,2182,123,2950,1270,15
B002,Ramesh Devi,Flower seller,Odisha,2025-07,6800,3155,2538,128,2950,949,19
B002,Ramesh Devi,Flower seller,Odisha,2025-08,8132,3139,3258,149,2950,2950,0
B002,Ramesh Devi,Flower seller,Odisha,2025-09,9863,3062,5298,188,2950,1325,22
B002,Ramesh Devi,Flower seller,Odisha,2025-10,16075,3125,5810,301,2950,2950,0
B002,Ramesh Devi,Flower seller,Odisha,2025-11,18008,3104,4675,334,2950,2950,0
B002,Ramesh Devi,Flower seller,Odisha,2025-12,14207,3102,4688,265,2950,2950,0
B002,Ramesh Devi,Flower seller,Odisha,2026-01,14741,3075,4191,258,2950,2950,0
B002,Ramesh Devi,Flower seller,Odisha,2026-02,13015,3049,3443,248,2950,2950,0
